,PRED,SIGMA
977,337.4988,104.08205
978,337.4061,104.04289
979,337.31305,104.00319
980,337.21945,103.96289
981,337.12552,103.92213
982,337.0311,103.8807
983,336.93628,103.83874
984,336.84106,103.79604
985,336.74548,103.75279
986,336.6496,103.70889
987,336.5533,103.664314
988,336.45676,103.619026
989,336.35986,103.5731
990,336.26276,103.526436
991,336.16516,103.47904
992,336.06693,103.43107
993,335.9684,103.38229
994,335.8697,103.33279
995,335.77084,103.28249
996,335.67142,103.230736
997,335.57175,103.17791
998,335.4718,103.12411
999,335.37183,103.069435
1000,335.27173,103.01386
1001,335.17157,102.95738
1002,335.0713,102.89981
1003,334.97107,102.84137
1004,334.87073,102.78182
1005,334.77045,102.72126
1006,334.6702,102.65967
1007,334.56998,102.59697
1008,334.46976,102.53318
1009,334.36966,102.46832
1010,334.26968,102.402306
1011,334.16983,102.33514
1012,334.07007,102.26676
1013,333.97046,102.197296
1014,333.87103,102.126595
1015,333.7718,102.054665
1016,333.67242,101.981514
1017,333.57324,101.90717
1018,333.47433,101.831665
1019,333.3756,101.75482
1020,333.27707,101.67679
1021,333.17877,101.59742
1022,333.08078,101.51684
1023,332.98184,101.43301
1024,332.88318,101.34766
1025,332.78473,101.260635
1026,332.68665,101.17258
1027,332.5887,101.0832
1028,332.49103,100.99263
1029,332.39346,100.900795
1030,332.29614,100.80777
1031,332.19907,100.71353
1032,332.10214,100.61805
1033,332.00574,100.52147
1034,331.91632,100.422676
1035,331.82693,100.32271
1036,331.7378,100.22166
1037,331.64877,100.11956
1038,331.55988,100.016426
1039,331.47098,99.91225
1040,331.38214,99.80705
1041,331.29333,99.70095
1042,331.20447,99.594
1043,331.11557,99.48618
1044,331.0297,99.37702
1045,330.94897,99.26635
1046,330.86816,99.15487
1047,330.7871,99.042854
1048,330.7058,98.93018
1049,330.62418,98.81704
1050,330.5414,98.70424
1051,330.45813,98.59099
1052,330.3744,98.47746
1053,330.29004,98.36372
1054,330.2051,98.2496
1055,330.11954,98.1354
1056,330.03204,98.021324
1057,329.9429,97.90734
1058,329.85275,97.79345
1059,329.76163,97.67967
1060,329.66943,97.56625
1061,329.576,97.45305
1062,329.48132,97.340324
1063,329.38525,97.22791
1064,329.29117,97.12164
1065,329.20062,97.02426
1066,329.1082,96.92766
1067,329.01318,96.83201
1068,328.9165,96.737335
1069,328.81793,96.64365
1070,328.71753,96.550896
1071,328.61523,96.45928
1072,328.51123,96.368675
1073,328.40536,96.27924
1074,328.29733,96.19104
1075,328.18704,96.10414
1076,328.07455,96.01868
1077,327.95978,95.93465
1078,327.8426,95.85204
1079,327.7207,95.77121
1080,327.5962,95.69197
1081,327.4764,95.606964
1082,327.37915,95.49734
1083,327.2794,95.38929
1084,327.17664,95.28323
1085,327.07092,95.179276
1086,326.9623,95.07759
1087,326.8612,94.977615
1088,326.75702,94.87977
1089,326.65073,94.783554
1090,326.55646,94.67366
1091,326.4658,94.55874
1092,326.37036,94.447754
1093,326.2702,94.34056
1094,326.1653,94.23705
1095,326.0557,94.13726
1096,325.94098,94.04267
1097,325.82422,93.96089
1098,325.7111,93.895836
1099,325.59512,93.836685
1100,325.47482,93.78063
1101,325.35022,93.72774
1102,325.22144,93.67777
1103,325.0885,93.63076
1104,324.95154,93.58648
1105,324.81064,93.544846
1106,324.66553,93.506195
1107,324.51703,93.47102
1108,324.36563,93.439285
1109,324.2106,93.40978
1110,324.05225,93.38235
1111,323.8884,93.358444
1112,323.72095,93.3367
1113,323.55045,93.31662
1114,323.39005,93.31971
1115,323.23413,93.33663
1116,323.0754,93.35514
1117,322.91412,93.375404
1118,322.7514,93.39745
1119,322.58643,93.42032
1120,322.4189,93.444435
1121,322.2489,93.46962
1122,322.07645,93.4959
1123,321.9016,93.52316
1124,321.7244,93.55138
1125,321.54492,93.580475
1126,321.3631,93.610306
1127,321.17914,93.64088
1128,320.993,93.6722
1129,320.8047,93.704094
1130,320.61435,93.736626
1131,320.4219,93.76962
1132,320.22873,93.80253
1133,320.035,93.83515
1134,319.8394,93.868065
1135,319.6422,93.90093
1136,319.44318,93.934135
1137,319.24222,93.967514
1138,319.03937,94.00131
1139,318.83456,94.03548
1140,318.62793,94.06983
1141,318.41946,94.104355
1142,318.20917,94.13904
1143,317.997,94.17375
1144,317.78302,94.20854
1145,317.56732,94.24334
1146,317.34985,94.278114
1147,317.13055,94.31296
1148,316.90945,94.34766
1149,316.6865,94.38234
